Question,Score
quel sont ,0.2160796821117401
examen s1,0.6489217877388
mti7an dyal s1 imta,0.18430392444133759
mti7an dyal semestre  s1 imta,0.42380189895629883
Quels sont les cours programmés le lundi matin,0.5194031000137329
Quels sont les cours programmés le lundi matin ,0.5194031000137329
Quels sont les cours programmés le lundi matin ,0.5194031000137329
Quels sont les cours programmés le lundi matin ,0.5194031000137329
"""Qui enseigne le cours \""Statistique inférentielle 2\"" et à quel moment",0.465579092502594
Qui enseigne le cours Statistique inférentielle 2 et à quel moment ?,0.47934645414352417
Quels sont les cours programmés le lundi matin ,0.5194031000137329
Quels sont les documents nécessaires pour l'inscription ?,0.2739031910896301
Quels sont les documents nécessaires pour l'inscription ?,0.2739031910896301
